Roll_Number,fullName,Gender,BirthDate,age,MBA CGPA,Degree,Graduation Specialization,Graduation Percentage
58,Preeti Mann,Female,5/14/2001,21,6.68,B.A.,History And Political Science,60
59,Vijay Mehta,Male,8/18/1998,26,7.19,B.Sc. (Hons.),Zoology,61.56
60,Shruti Goswami,Female,7/31/2001,25,6.35,B.Tech,Electronics And Communication Engineering,63.65
61,Sadia Nigam,Female,7/29/2002,23,7.47,B.Sc. (Hons.),Statistics,89.2
62,Manisha Patel,Female,8/13/1998,23,6.68,B.A. (Hons.),Economics,58
63,Harini Mann,Female,8/25/1998,23,8.32,B.Com. (Hons.),Commerce,76.38
64,Jitendra Sekhon,Male,7/25/2000,23,8.28,B.A.,Physical Science With Chemistry,82.5
65,Rajeev Iyer,Male,7/20/2000,23,8.6,B.Com. (Hons.),Marketing,96.6
66,Mukesh Sidhu,Male,8/31/1992,27,6.95,B.B.A.,General,73.2
67,Kartik Malhotra,Male,5/30/1999,24,8,B.Tech,General,79.84
68,Sachin Aggarwal,Male,1/14/2002,29,7.19,B.C.A.,Electrical Engineering,65.8
69,Anurag Lal,Male,8/31/1992,24,7.32,B.Tech,Mechanical Engineering,76.9
70,Kritika Khanna,Female,4/17/2001,24,7.26,B.Com. (Hons.),Commerce,62
71,Nitin Patnaik,Male,4/27/2001,23,7.19,B.Com.,General,83.58
72,Alisha Rathi,Female,8/14/1998,27,6.73,B.E.,Computer Science Engineering,63.75
73,Trisha Nair,Female,2/28/1998,27,7.53,B.Com. (Hons.),General,70.73
74,Sneha Sekhon,Female,7/20/2001,22,8.13,B.Com. (Hons.),Commerce,78.7
75,Smriti Rana,Female,9/20/1998,22,6.2,B.Com. (Hons.),Commerce,78.57
76,Siddhesh Rawat,Male,2/15/1993,21,6.36,B.A. (Hons.),English Hons,70.07
77,Kabir Mishra,Male,7/17/2000,24,7.49,B.Com. (Hons.),Accountancy,84.9
78,Zoya Bhullar,Female,5/18/1998,26,7.45,B.Com.,General,62.47
79,Surbhi Arora,Female,3/20/2002,23,7.47,B.B.A.,Finance,72.5
80,Preeti Kalra,Female,8/20/2001,21,7.68,B.Com. (Hons.),General,95.03
81,Aakash Shetty,Male,12/14/1996,24,8.39,B.Com. (Hons.),Commerce,59.8
82,Arvind Gupta,Male,11/21/1999,24,7.36,B.Tech,Mechanical Engineering,72.52
83,Swati Oberoi,Female,10/19/2000,23,7.83,B.B.A.,General,80.7
84,Meghna Rawat,Female,3/18/1997,22,7.81,B.B.A.,General,65.94
85,Vikram Sodhi,Male,10/15/1999,26,6.64,B.Com.,Computer Science Engineering,68
86,Pallavi Nigam,Female,3/28/2000,22,8.39,B.B.A.,General,84.05
87,Samarth Rout,Male,3/26/2001,22,7.02,B.B.A.,General,89.3
88,Saurabh Bose,Male,10/29/2001,24,7.15,B.Tech,Mechanical Engineering,61.8
89,Shraddha Bhandari,Female,9/19/2000,24,8.2,B.A. LLB,Law,87.57
90,Sneha Kapoor,Female,3/13/1998,22,7.51,B.Com. (Hons.),Human Resource Management,86.5
91,Aarav Patnaik,Male,3/31/2002,22,6.48,B.Sc. (Hons.),Hospitality And Hotel Administeration,81.6
92,Aarushi Patel,Female,7/29/1993,23,6.58,B.Com.,General,71.5
93,Anurag Chopra,Male,12/16/1998,24,7.02,B.A. (Hons.),English,84.4
94,Rajat Rana,Male,8/17/1998,24,6.71,B.C.A.,Finance,78.82
95,Namrata Ahluwalia,Female,9/30/2000,25,7.71,B.A. (Hons.),Sociology,80.5
96,Nitin Venkatesh,Male,12/20/1999,23,5.64,B.E.,Marketing Management And Retail Business,70.07
97,Raj Das,Male,5/30/1999,24,7.22,B.Com.,Textile Technology,77.19
98,Pranav Dhillon,Male,2/22/2002,22,7.25,B.B.A.,General,85.1
99,Rakesh Mishra,Male,5/26/1999,28,7.58,B.Tech,Electronics And Communication Engineering,66.77
100,Manisha Gill,Female,8/15/1997,27,6.73,B.Tech,Accounting,73.8
101,Aarushi Pillai,Female,9/30/2000,25,7.51,B.B.A.,General,79.1
102,Navin Jain,Male,12/20/2000,23,5.64,B.E.,Food Science And Technology,68.47
103,Preeti Kulkarni,Female,4/23/1999,22,7.83,B.Com. (Hons.),General,82.69
104,Bhavna Chahal,Female,12/31/1999,23,8.18,B.B.A.,Accounting And Finance,79.4
105,Ragini Menon,Female,5/31/2001,22,8.07,B.Sc. (Hons.),Computer Science Engineering,87.9
106,Kavya Mathur,Female,10/20/2001,22,6.63,B.B.A.,General,71.23
107,Rohan Malhotra,Male,9/14/2000,24,7.85,B.Tech,Computer Science Engineering,87.57
108,Raj Aggarwal,Male,3/13/2000,22,7.49,B.B.A.,Finance,86.7
109,Ishita Deshpande,Female,12/15/1998,24,6.66,B.Com.,General,68
110,Aryan Saxena,Male,4/18/2001,23,6.76,B.B.A.,General,69.83
111,Rakesh Talwar,Male,4/27/2001,28,6.86,B.Tech,Mechanical Engineering,67.06
112,Rajat Verma,Male,8/27/2001,25,6.85,B.B.A.,General,71.7
113,Rajeev Chopra,Male,2/28/1998,25,7.55,B.E.,Zoology,77.71
114,Rohan Yadav,Male,10/15/1999,23,8.18,B.Com. L.L.B,Management,63.42
115,Chandan Bains,Male,2/15/1993,23,8.18,B.Com.,Chemical Engineering,81.22
116,Chetan Das,Male,4/14/2001,23,7.38,B.Sc. (Hons.),Physical Science With Chemistry,79.45
117,Fatima Mohanty,Female,7/20/2001,23,6.34,B.Com. (Hons.),General,70.21
118,Harish Nair,Male,5/24/2001,24,7.02,B.Tech,General,75
119,Ajay Rana,Male,11/26/2002,24,8.54,B.Com. (Hons.),Commerce,76
120,Raghav Gupta,Male,2/24/1999,25,6.96,B.Com. (Hons.),General,61.8
121,Satish Dhar,Male,10/23/2000,22,7.45,B.Com. (Hons.),General,75.95
122,Rajendra Gupta,Male,10/13/2000,27,7.9,B.Tech,Computer Science Engineering,70
123,Jayant Bhatt,Male,3/15/2000,25,7.02,B.Com. (Hons.),Mechatronics Engineering,80.2
124,Swati Naidu,Female,7/25/2002,22,7.55,B.B.A.,Marketing And Finance,84.05
125,Asmita Hanjra,Female,8/25/2001,25,7.87,B.B.A.,Marketing,76
126,Saket Joshi,Male,8/30/2000,24,8,B.Com. (Hons.),Computer Science Engineering,86.07
127,Rajat Dwivedi,Male,3/26/2002,20,7.48,B.Com.,Information Technology,75.27
128,Parth Aggarwal,Male,2/18/2000,24,7.41,B.Tech,Mechanical Engineering,65.28
129,Kiran Mishra,Female,3/30/2001,23,7.83,B.B.A.,General,80.7
130,Bhavya Behera,Female,3/28/1996,22,8.11,B.Com. (Hons.),General,67.5
131,Ruchika Mathur,Female,5/24/2001,25,6.87,B.E.,Biology,88.7
132,Pranav Kalra,Male,7/20/2001,23,6.52,B.Com. (Hons.),General,82.6
133,Arpita Patel,Female,4/18/2001,23,6.4,B.Sc. (Hons.),Statistics,77.62
134,Sadia Das,Female,7/27/1992,23,7.54,B.B.A.,General,83.9
135,Sameera Ahluwalia,Female,7/14/2002,22,7.15,B.B.A.,General,86.7
136,Vishal Purohit,Male,11/25/1999,23,7.64,B.Com. (Hons.),Commerce,65.34
137,Mahesh Grewal,Male,10/27/1995,24,6.76,B.Com. (Hons.),General,86
138,Ashwin Purohit,Male,5/14/2002,24,6.67,B.Tech,Electrical Engineering,77.71
139,Vivaan Reddy,Male,8/22/2002,23,7.08,B.Tech,Information Technology,80.5
140,Aman Venkatesh,Male,1/23/2001,23,8.33,B.Com. (Hons.),General,82.5
141,Vijay Venkatesh,Male,9/21/1999,23,6.9,B.Tech,Civil Engineering,81.7
142,Dhruv Bains,Male,1/15/2000,23,7.04,B.Com.,Finance,73.1
143,Zoya Bedi,Female,7/24/2000,25,7.17,B.B.A.,General,53.39
144,Ajay Hooda,Male,4/23/1999,24,7.22,B.Com.,Commerce,70
145,Kartik Naidu,Male,3/29/1999,22,6.65,B.B.A.,General,80.6
146,Vimal Mittal,Male,6/28/2002,23,7.79,B.Com. (Hons.),General,87.11
147,Siddhesh Mishra,Male,2/21/1999,24,7.4,B.Com. (Hons.),Commerce,77.99
148,Trisha Tripathi,Female,8/22/2002,22,7.47,B.Com.,General,86.5
149,Deepak Yadav,Male,4/21/2002,22,8.37,B.Com. (Hons.),Banking,79.45
150,Ajay Grewal,Male,3/28/2000,23,7.79,B.Com. (Hons.),General,87.11
151,Shraddha Bhatt,Female,2/20/2002,28,7.1,B.Sc.,Biology,88
152,Akanksha Das,Female,11/25/2001,22,6.21,B.Sc. (Hons.),Statistics,75.54
153,Ira Bose,Female,9/19/2000,23,7.6,B.Com. (Hons.),General,75.5
154,Vishal Singh,Male,10/15/2000,26,6.64,B.Tech,General,77.9
155,Sameera Goswami,Female,2/15/1993,22,7.83,Bachelors of Mass Media,Management,76.1
156,Preeti Lal,Female,11/28/2002,24,7.1,B.Com.,Financial Accounting And Auditing,68.87
157,Rahul Pandey,Male,7/21/2000,22,6.55,B.Sc.,Mathematics And Computing,81.6
158,Madhavi Bedi,Female,9/25/2002,22,7.09,B.B.A.,General,71.34
159,Ameena Deshpande,Female,9/25/2002,22,8.01,B.B.A.,General,92.4
160,Prachi Vyas,Female,2/27/2001,22,7.02,B.A. (Hons.),Business Economics,69.16
161,Karishma Reddy,Female,9/19/2000,23,8.32,B.Com. (Hons.),Commerce,87.3
162,Sameera Krishna,Female,3/18/1998,22,7.81,B.Com. (Hons.),General,82.69
163,Harish Panday,Male,11/29/1999,25,6.67,B.Com. (Hons.),General,80.6
164,Manish Bedi,Male,12/16/2001,23,6.98,B.Sc.,Bsc. Hons Mathematics (Economics Minor),76.19
165,Tejas Mann,Male,12/16/1998,24,7.32,B.Tech,Chemical Engineering,76.9
166,Devendra Iyer,Male,7/24/2000,24,7.72,B.Com. (Hons.),General,60
167,Vivaan Goel,Male,10/30/1996,25,7.86,B.Tech,General,81.13
168,Ashok Reddy,Male,8/17/1998,25,6.72,B.A. (Hons.),Economics,62.7
169,Bhavesh Ahluwalia,Male,3/23/2000,22,7.46,B.Com. (Hons.),General,77.9
170,Manish Dwivedi,Male,3/23/1999,23,4.94,B.B.A.,General,70.6
171,Arvind Sandhu,Male,1/16/2001,29,8.73,B.Tech,Electronics And Communication Engineering,70
172,Jitendra Gill,Male,9/28/1999,23,6.81,B.B.A.,Marketing And Human Resource,76.19
173,Sachin Bhatt,Male,3/30/2001,24,6.76,B.Tech,Electrical Engineering,84.5
174,Yogesh Guha,Male,2/26/2000,21,7.25,B.Com. (Hons.),Commerce,74.07
175,Jyoti Kohli,Female,6/23/2000,24,8.31,B.Com.,Commerce,73.81
176,Jitendra Pannu,Male,7/31/2001,23,7.66,B.Com.,Finance,69.58
177,Suraj Verma,Male,11/26/2001,24,7.41,B.Tech,Electronics And Communication Engineering,77.99
178,Ameena Sangwan,Female,7/29/2002,23,7.47,B.Sc. (Hons.),Physics,81.5
179,Sadia Bhatia,Female,7/20/2001,23,6.34,B.B.A.,Finance,70.21
180,Meera Saxena,Female,4/21/2002,22,8.13,B.B.A.,General,84.5
181,Omkar Ahluwalia,Male,8/22/2000,29,7.19,B.Tech,Electrical And Electronics Engineering,68.38
182,Jitendra Garg,Male,7/28/2002,22,7.19,B.B.A.,General,85.32
183,Kajal Jain,Female,3/15/2002,23,7.71,B.Com. (Hons.),Accounting And Finance,82.27
184,Meghna Rana,Female,10/27/2000,25,6.66,Bachelor of Architecture,Electrical Engineering,88.7
185,Ankit Gill,Male,5/26/1999,24,7.35,B.Tech,Mechanical Engineering,61.8
186,Ajay Menon,Male,12/16/2001,24,6.87,B.Com.,Computer Science Engineering,87.3
187,Lavanya Kalra,Female,4/15/2002,21,6.85,B.B.A.,General,89.3
188,Navin Grewal,Male,5/24/2001,24,7.26,B.B.A.,Marketing,84.2
189,Suraj Chaudhary,Male,9/20/1998,22,7.98,B.Sc.,Hotel Management,77.71
190,Chetan Tiwari,Male,1/23/2001,22,8.28,B.Com. (Hons.),Commerce,88.1
191,Vidya Saxena,Female,4/18/2001,21,8.31,B.B.A.,Commerce,92.4
192,Prakash Sandhu,Male,11/30/2000,25,6.67,B.Com. (Hons.),Accountancy,79.28
193,Charu Patel,Female,4/21/2002,22,8.13,B.B.A.,General,83.5
194,Mukesh Naidu,Male,12/20/2002,23,5.64,B.B.A.,General,68.81
195,Ananya Das,Female,8/15/1997,27,6.73,B.Sc.,Biology,73.8
196,Rajat Suri,Male,5/20/2000,23,7.73,B.B.A.,General,87.11
197,Bharat Kulkarni,Male,5/30/1999,26,7.22,B.Tech,Mechanical Engineering (Hons.),77.33
198,Jyoti Kalra,Female,8/20/2001,21,7.68,B.Sc. (Hons.),Physics,95.03
199,Sneha Tripathi,Female,5/20/2000,24,7.88,B.Com. (Hons.),Commerce,77.14
200,Devendra Das,Male,7/20/2000,23,7.36,B.B.A.,General,91.9
201,Vidya Khanna,Female,4/15/2002,23,8.15,B.A. (Hons.),Economics,84.83
202,Siddhesh Nigam,Male,11/21/1999,23,6.69,B.Com. (Hons.),General,90.8
203,Namrata Patnaik,Female,8/14/1998,27,6.67,B.Sc.,Life Science,68.19
204,Kartik Suri,Male,4/23/1999,25,7.22,B.B.A.,General,72.52
205,Rajni Pillai,Female,9/28/1999,23,8.32,B.B.A.,General,85.6
206,Manisha Goel,Female,10/20/2001,23,8.02,B.Com.,Electronics And Communication Engineering,63.25
207,Kanika Venkatesh,Female,8/23/2000,23,7.81,B.Sc.,Computer Science,77.87
208,Anurag Singh,Male,9/14/2000,20,6.52,B.Sc.,Information Science Engineering,76.19
209,Sadia Das,Female,2/28/1998,22,7.55,B.Tech,Commerce,82.27
210,Raghav Rastogi,Male,7/24/2000,24,7.62,B.Com. L.L.B,Pharmacy,80.4
211,Rajat Sandhu,Male,2/19/2002,23,8.18,B.Com. L.L.B,Management,63.42
212,Dinesh Sandhu,Male,1/23/2001,23,8.33,B.Com. (Hons.),Commerce,80.88
213,Manish Hooda,Male,8/16/2002,23,7.51,B.Sc.,Bsc. Hons Mathematics (Economics Minor),75.27
214,Uday Dwivedi,Male,3/31/2001,22,7.12,B.B.A.,Finance,83.4
215,Vimal Venkatesh,Male,8/30/2000,27,6.68,B.Tech,Information Technology,70.7
216,Vijay Venkatesh,Male,11/30/2000,24,7.73,B.Tech,Computer Science Engineering,86.5
217,Aakash Sidhu,Male,3/25/2002,22,6.71,B.B.A.,Human Resource Management,71.34
218,Chirag Aggarwal,Male,9/23/2002,27,6.42,B.Tech,General,77.9
219,Anil Gill,Male,9/28/1999,24,5.93,B.Com. (Hons.),Commerce,71.7
220,Hemlata Ahluwalia,Female,8/27/2001,23,7.21,B.Com.,General,66.75
221,Hemant Mittal,Male,2/20/2002,23,6.83,B.Tech,Civil Engineering,69.83
222,Aryan Patnaik,Male,3/29/1999,26,8.33,B.E.,Bio-Technology,63.63
223,Nandini Hooda,Female,7/14/1998,29,8,B.D.S.,Electronics And Communication Engineering,65.3
224,Divya Rathi,Female,7/27/2001,23,7.54,B.Com.,Mathematics,68.11
225,Abhishek Sekhon,Male,4/28/2000,22,6.97,B.Tech,Mechanical Engineering,75.7
226,Gaurav Gill,Male,7/17/2000,27,7.94,B.B.A.,Mechatronics Engineering,73.2
227,Kiran Venkatesh,Female,7/22/2002,22,7.94,B.A. (Hons.),Business Economics,84.73
228,Kajal Kataria,Female,10/29/2001,28,8.33,B.A. (Hons.),English,80.13
229,Jyoti Bose,Female,5/24/2001,24,7.56,B.Com. (Hons.),Commerce,80.23
230,Rajendra Sodhi,Male,3/31/2002,22,7.02,B.E.,Physical Science With Computer Science,75.81
231,Aditya Garg,Male,12/15/2000,26,7.81,B.Com. (Hons.),Commerce,59.31
232,Vaishnavi Bains,Female,12/30/2000,23,7.96,B.Com. (Hons.),Finance,77.23
233,Rohan Yadav,Male,10/19/2000,26,7.81,B.Tech,Finance,88.7
234,Pradeep Guha,Male,5/14/2002,27,6.78,B.Sc.,Hotel Management,68.19
235,Sachin Chopra,Male,3/13/1998,26,7.04,B.Tech,Co-Operation,66.77
236,Sachin Sodhi,Male,8/17/1998,23,8.03,B.Tech,Mechanical And Automation Engineering,79.99
237,Suraj Garg,Male,1/31/2001,25,7.36,B.A. LLB,Finance,79.28
238,Abhishek Bose,Male,7/24/2002,30,7.49,B.Com. L.L.B,Journalism,65.3
239,Rekha Mehta,Female,9/25/2002,22,7.09,B.B.A.,General,71.34
240,Rohan Goswami,Male,3/26/2001,22,6.48,B.A.,Civil Engineering,71
241,Rishi Thakur,Male,7/13/2001,21,6.76,B.Sc.,Physical Science With Computer Science,78.3
242,Aradhana Jain,Female,3/18/1998,22,6.76,B.Com. (Hons.),General,82
243,Aarav Dwivedi,Male,4/29/2000,25,7.04,B.Sc.,Economics,68.55
244,Swati Sekhon,Female,7/14/1998,22,6.21,B.Com.,Finance,58
245,Hemant Chopra,Male,11/16/2000,24,6.13,B.Tech,Electrical Engineering,74.2
246,Satish Naidu,Male,11/26/2002,24,6.11,B.Com. (Hons.),Finance,86.5
247,Deepak Bains,Male,7/29/1993,21,7.49,BMS,Information Science Engineering,82.46
248,Manish Nair,Male,10/19/2000,24,7.43,B.Tech,Mechanical Engineering,82.58
249,Kartik Joshi,Male,1/22/2001,22,8.26,B.A.,Physics,79.99
250,Shraddha Sodhi,Female,3/25/2002,23,6.98,B.Com. (Hons.),General,77.3
251,Abhay Sekhon,Male,8/17/1998,22,8.45,B.Com.,Automotive Design,82.46
252,Surbhi Jain,Female,4/15/2002,21,8.31,B.B.A.,General,92.4
253,Harendra Verma,Male,6/30/1998,22,8.13,B.B.A.,General,79.99
254,Aarav Mohanty,Male,6/30/1998,22,8.13,B.B.A.,General,81.11
255,Anil Purohit,Male,11/13/2000,22,7.4,B.Com. (Hons.),Accounting And Finance,77.9
256,Ajay Tiwari,Male,3/31/2001,23,7.28,B.C.A.,Physics,88.8
257,Mukesh Sethi,Male,8/22/2000,29,7.51,B.Pharm,Dentistry,64.13
258,Ameena Arora,Female,12/31/1999,24,6.66,B.B.A.,General,71.7
259,Asha Malhotra,Female,6/28/2002,23,7.77,B.Com. (Hons.),Commerce,87.4
260,Jyoti Rout,Female,3/13/1998,24,8.32,B.Com. (Hons.),General,76
261,Arjun Rana,Male,4/23/1999,25,7.71,B.E.,Bio-Technology,65.73
262,Mahesh Garg,Male,4/14/2001,25,7.56,B.E.,Zoology,72.5
263,Dhruv Mittal,Male,3/15/2002,22,7.46,B.Sc. (Hons.),Computer Science,81.22
264,Vivaan Bose,Male,7/24/2000,22,6.36,B.Com. (Hons.),Commerce,77.81
265,Deepak Nair,Male,8/23/2000,23,7.51,B.B.A.,General,95.2
266,Kabir Rathi,Male,4/27/2001,22,7.75,B.B.A.,General,90.1
267,Kavya Mittal,Female,6/28/2002,24,7.56,B.Sc. (Hons.),Botany,80.23
268,Rahul Saxena,Male,11/17/2001,27,7.88,B.B.A.,Mechatronics Engineering,73.2
269,Ruchika Patel,Female,3/30/2001,23,8.02,B.Com. (Hons.),Accounting And Taxation,82.13
270,Akanksha Gupta,Female,10/17/1999,24,6.79,B.Com. (Hons.),General,79.46
271,Ameena Sidhu,Female,11/25/2001,24,8.31,B.Sc.,Database Management Systems,73.81
272,Jyoti Patnaik,Female,11/21/1999,26,7.98,B.Com. (Hons.),General,65.98
273,Arvind Khanna,Male,3/17/2002,23,7.21,B.Sc.,Bsc. Hons Mathematics (Economics Minor),79.45
274,Rajat Venkatesh,Male,12/18/2000,25,6.95,B.A. (Hons.),Economics,72.3
275,Chandan Talwar,Male,3/30/2001,22,8.33,B.Com. (Hons.),General,77.71
276,Hemlata Hanjra,Female,8/14/1998,27,8.02,B.Com. (Hons.),General,70.73
277,Hemlata Kaur,Female,3/26/2002,23,7.71,B.B.A.,Commerce,79.4
278,Surbhi Vyas,Female,7/20/2002,23,8.43,B.Com. (Hons.),General,76.57
279,Pooja Goswami,Female,7/14/1998,26,7.98,B.Com. (Hons.),General,80.8
280,Siddhesh Chahal,Male,1/23/2000,28,5.67,B.B.A.,General,66.64
281,Deepak Bedi,Male,8/27/2001,26,5.82,B.E.,Electronics And Communication Engineering,63.63
282,Rudra Rana,Male,8/20/2002,26,5.86,B.B.A.,General,77.33
283,Manisha Dhar,Female,5/30/1998,24,6.87,B.B.A.,General,77.14
284,Arpita Deshpande,Female,10/28/1999,25,7.06,B.E.,General,70.78
285,Deepak Dwivedi,Male,7/21/2000,24,8.28,B.Com. (Hons.),Accounting And Finance,81.4
286,Aakash Sodhi,Male,7/24/2000,22,6.52,B.B.A.,Marketing And Human Resource,79.7
287,Urmila Sidhu,Female,4/18/2001,22,6.2,B.A. (Hons.),Political Science,69.63
288,Varsha Bhullar,Female,11/28/2002,25,6.08,B.Tech,Electronics And Communication Engineering,69.2
289,Ashok Dhillon,Male,3/17/1994,22,7.46,B.A.,Economics,69.5
290,Komal Lal,Female,4/21/2002,22,7.83,B.B.A.,General,77.83
291,Kavya Mishra,Female,8/20/2002,21,6.3,B.Sc. (Hons.),General,78.9
292,Anjali Bajwa,Female,10/28/1999,25,7.06,B.E.,Hospitality,70.78
293,Avni Bhullar,Female,7/15/1998,23,7.21,B.Com. (Hons.),Commerce,69.81
294,Simran Mishra,Female,9/20/1998,24,7.38,B.A. (Hons.),English Literature,80.2
295,Namrata Bhatia,Female,3/22/2001,22,7.1,B.B.A.,General,66.6
296,Dhruv Sandhu,Male,10/28/2001,24,7.19,B.Com.,Electrical Engineering,72.3
297,Kiran Malhotra,Male,7/20/2001,23,7.36,B.Com. (Hons.),Commerce,82.67
298,Sanya Chhabra,Female,5/23/2002,24,6.87,B.B.A.,General,85
299,Rakesh Grewal,Male,4/30/1999,24,7.32,B.B.A.,General,71.5
300,Ankita Arora,Female,8/23/2000,22,6.2,B.B.A.,General,70.4
301,Geeta Chahal,Female,8/20/2001,21,7.94,B.B.A.,Commerce,85.6
302,Naina Chhabra,Female,2/21/1999,23,6.93,B.Sc. (Hons.),Chemistry,75.54
303,Jitendra Bajwa,Male,7/24/2000,23,7.09,B.B.A.,General,92.3
304,Anurag Shetty,Male,1/18/2000,25,6.57,B.Com. (Hons.),General,79.28
305,Rahul Chahal,Male,4/23/1999,25,7.36,B.Com.,Mechanical And Automation Engineering,86.5
306,Akanksha Bajwa,Female,2/19/2002,22,7.27,B.A. (Hons.),Economics,87.9
307,Tanya Venkatesh,Female,3/28/1996,22,7.7,B.Com. (Hons.),Human Resource Management,80.7
308,Swati Khanna,Female,8/14/2002,23,6.81,B.A. (Hons.),Economics,58
309,Devendra Rout,Male,11/20/2000,25,5.83,B.Com. (Hons.),Civil Engineering,61.7
